Tutor Name, Course Name, Timeslot
Tutor 404,Galois Theory,28
Tutor 404,Galois Theory,29
Tutor 404,Statistics (Year 2) - Lab,81
Tutor 404,Statistics (Year 2) - Lab,82
Tutor 404,Time Series,47
Tutor 404,Time Series,48
Tutor 404,Time Series,49
Tutor 404,Time Series,50
Tutor 84,Credit Scoring,13
Tutor 84,Credit Scoring,14
Tutor 84,Credit Scoring,15
Tutor 84,Credit Scoring,16
Tutor 84,Numerical Probability and Monte Carlo ,32
Tutor 84,Numerical Probability and Monte Carlo ,33
Tutor 84,Numerical Probability and Monte Carlo ,34
Tutor 84,Numerical Probability and Monte Carlo ,35
Tutor 84,Stochastic Control and Dynamic Asset Allocation,36
Tutor 84,Stochastic Control and Dynamic Asset Allocation,37
Tutor 84,Topics in Mathematical Physics B,68
Tutor 84,Topics in Mathematical Physics B,69
Tutor 84,Uncertainty Quantification,72
Tutor 84,Uncertainty Quantification,73
Tutor 336,Algebraic Topology,41
Tutor 336,Algebraic Topology,42
Tutor 336,Calculus & its Applications ,29
Tutor 336,Calculus & its Applications ,30
Tutor 336,Calculus & its Applications ,31
Tutor 336,Calculus & its Applications ,32
Tutor 336,Calculus & its Applications ,33
Tutor 336,Calculus & its Applications ,34
Tutor 336,Linear Programming Modelling and Solution Computer Lab,60
Tutor 336,Linear Programming Modelling and Solution Computer Lab,61
Tutor 336,Linear Programming Modelling and Solution Computer Lab,62
Tutor 336,Linear Programming Modelling and Solution Computer Lab,63
Tutor 336,Numerical Methods for Data,58
Tutor 336,Numerical Methods for Data,59
Tutor 398,Credit Scoring,13
Tutor 398,Credit Scoring,14
Tutor 398,Credit Scoring,15
Tutor 398,Credit Scoring,16
Tutor 398,Linear Programming Modelling and Solution Computer Lab,60
Tutor 398,Linear Programming Modelling and Solution Computer Lab,61
Tutor 398,Linear Programming Modelling and Solution Computer Lab,62
Tutor 398,Linear Programming Modelling and Solution Computer Lab,63
Tutor 398,Mathematical Education,68
Tutor 398,Mathematical Education,69
Tutor 398,Mathematical Education,70
Tutor 398,Mathematical Education,71
Tutor 398,Proofs & Problem Solving,1
Tutor 398,Proofs & Problem Solving,2
Tutor 398,Proofs & Problem Solving,3
Tutor 398,Proofs & Problem Solving,4
Tutor 398,Proofs & Problem Solving,5
Tutor 398,Proofs & Problem Solving,6
Tutor 417,Computing and Numerics,85
Tutor 417,Computing and Numerics,86
Tutor 417,Computing and Numerics,87
Tutor 417,Computing and Numerics,88
Tutor 417,Introduction to Number Theory,72
Tutor 417,Introduction to Number Theory,73
Tutor 417,Linear Programming Modelling and Solution Computer Lab,60
Tutor 417,Linear Programming Modelling and Solution Computer Lab,61
Tutor 417,Linear Programming Modelling and Solution Computer Lab,62
Tutor 417,Linear Programming Modelling and Solution Computer Lab,63
Tutor 417,Proofs & Problem Solving,11
Tutor 417,Proofs & Problem Solving,12
Tutor 417,Proofs & Problem Solving,13
Tutor 417,Topics in Mathematical Physics B,68
Tutor 417,Topics in Mathematical Physics B,69
Tutor 234,Computing and Numerics,77
Tutor 234,Computing and Numerics,78
Tutor 234,Computing and Numerics,79
Tutor 234,Computing and Numerics,80
Tutor 234,Credit Scoring,13
Tutor 234,Credit Scoring,14
Tutor 234,Credit Scoring,15
